Round,Train Loss,Test Loss,Train Accuracy,Test Accuracy
63,4.000137643814087,3.9948628997802733,0.039425,0.03945
64,3.882590957283974,3.879579231739044,0.0451875,0.0458
65,4.043991871476173,4.045401756763458,0.0496125,0.05105
66,4.017728170752525,4.0114961588382725,0.041525,0.0414
67,4.582628815174103,4.548220541477203,0.0395375,0.04215
68,3.9331313520669937,3.936886430978775,0.0401125,0.04005
69,3.998664268255234,3.9924150812625885,0.04295,0.0421
70,4.073643742203712,4.056392602920532,0.0511,0.04905
71,3.886632330417633,3.8840144205093385,0.0503875,0.0487
72,4.039549219012261,4.040562262535095,0.0514125,0.05335
73,4.03444876730442,4.031825678348541,0.04275,0.04185
74,3.8524418485164644,3.847410959005356,0.0515,0.05335
75,4.070063083767891,4.063864443302155,0.0514375,0.0531
76,3.9415149968862533,3.9381976282596587,0.0513375,0.05395
77,3.9878905159235,4.007500423192978,0.0280375,0.0295
78,3.96034612596035,3.952586627006531,0.0519375,0.05365
79,4.254253097772598,4.249145203828812,0.0443,0.04505
80,3.9006036698818205,3.8998393523693085,0.0516875,0.05365
81,3.9844618248939514,3.9867368638515472,0.0439625,0.0444
82,3.886241891980171,3.884225984811783,0.0448,0.0453
83,4.051597366929054,4.0499728906154635,0.050325,0.0486
84,3.9406487959623338,3.93006888628006,0.0505875,0.0487
85,33.83912483692169,33.7438928604126,0.023175,0.0215
86,4.291043075919151,4.2893159651756285,0.0398625,0.0405
87,4.5352636104822155,4.503914124965668,0.038875,0.03835
88,4.090346980690956,4.092577676773072,0.0377875,0.03795
89,4.468927602171898,4.409096139669418,0.0511375,0.04935
90,4.164155380725861,4.14467171907425,0.039575,0.0397
91,4.316126261353492,4.30171989440918,0.0427,0.0417
92,5.375867556929588,5.2757965135574345,0.05195,0.051
93,4.049724005460739,4.032510095834732,0.0398625,0.04025
94,4.056706831455231,4.0431565916538235,0.0497875,0.04845
95,8.13999538421631,8.14993720293045,0.0596375,0.0578
96,4.880200612545013,4.864619784355163,0.0287375,0.03055
97,3.981347708106041,3.997389334440231,0.0444125,0.0453
98,4.059922969341278,4.071208285093308,0.0367,0.03615
99,4.223860496878624,4.2227428746223445,0.0374125,0.03725
100,4.17614200592041,4.160752960443497,0.04995,0.05215
101,4.122711315751076,4.12470441699028,0.0494875,0.04785
102,13.33754548072815,13.029465477466584,0.0320125,0.03025
103,3.9378879255056383,3.9436696767807007,0.039525,0.03975
104,3.9331665807962417,3.9433553266525267,0.0505375,0.04885
105,3.992569866776466,3.9983759129047396,0.0410375,0.0399
106,84.38623616218567,83.94088912963868,0.0228,0.0228
107,3.8753187537193297,3.883723614215851,0.041325,0.04005
108,3.961748257279396,3.975983568429947,0.04485,0.04545
109,5.119022105336189,5.054703001976013,0.03935,0.03955
110,3.980735971331596,3.9857532501220705,0.0503125,0.04855
111,10.671881387233734,10.654963278770447,0.0429125,0.04195
112,3.9681504732370376,3.9691811752319337,0.05025,0.04855
113,3.9486811321973803,3.9517604076862334,0.0505125,0.04895
114,3.8795484244823455,3.8811085534095766,0.050275,0.0485
115,3.8819964009523393,3.88475784778595,0.05035,0.04845
116,4.166583145856857,4.129650964736938,0.05175,0.0537
117,3.9867507499456405,4.000157291889191,0.0504125,0.0486
118,3.945146524310112,3.9334584105014803,0.0394375,0.03975
119,6.309093181490898,6.279684627056122,0.0513,0.0535
120,3.8821245032548903,3.881580123901367,0.0427625,0.0418
121,4.27403473675251,4.227565622329712,0.0522875,0.0506
122,4.460491088032723,4.4820909452438356,0.0511125,0.05265
123,3.9981712061166763,3.993649880886078,0.04285,0.0417
124,4.582999464869499,4.524432632923126,0.0428375,0.0427
125,4.175762887001038,4.197663955688476,0.038225,0.0378
126,4.135611687898636,4.1486143815517424,0.0398875,0.04065
127,3.9771117746829985,3.973426516056061,0.0399625,0.03945
128,4.2279588907957075,4.231497920751572,0.0496375,0.0483
129,3.9312857747077943,3.9338508009910584,0.027925,0.02935
130,4.569769126176834,4.612192500829696,0.0277,0.0287
131,3.9363337880373,3.930860389471054,0.0504375,0.04885
132,4.029003779292107,4.025387618541718,0.0502875,0.0485
