Round,Train Loss,Test Loss,Train Accuracy,Test Accuracy
194,3.802404000759125,3.802411639690399,0.05335,0.05355
195,3.7999120128154753,3.799668276309967,0.0579125,0.0587
196,3.8028291773796083,3.8031662583351133,0.0533625,0.0534
197,3.801512733697891,3.8017767429351808,0.0536625,0.05395
198,3.8030633234977724,3.8031974732875824,0.05735,0.05855
199,3.8075517308712006,3.8069402277469635,0.057325,0.0589
200,3.8088238644599914,3.8078925371170045,0.0577125,0.05895
201,3.8006714928150176,3.7994816839694976,0.0574875,0.05845
202,3.7982200992107393,3.796139621734619,0.05895,0.06045
203,3.8035029220581054,3.802763599157333,0.0577375,0.0586
204,3.8117218470573424,3.810509717464447,0.0320125,0.0304
205,3.8086887180805205,3.807602822780609,0.0415,0.0428
206,3.8080711650848387,3.807862114906311,0.0585875,0.0591
207,3.811698509454727,3.81223469376564,0.0437125,0.045
208,3.816706657409668,3.8187901437282563,0.033625,0.0313
209,3.80745167016983,3.808101147413254,0.0596875,0.0607
210,3.8034670543670654,3.803922009468079,0.056925,0.0566
211,3.8086600136756896,3.808714008331299,0.0435125,0.04475
212,3.820093938112259,3.8203992664813997,0.053875,0.0543
213,3.8135001492500304,3.8128062307834627,0.0590125,0.06065
214,3.809552489519119,3.8092727243900297,0.058825,0.05985
215,3.803297132253647,3.80276672244072,0.0533875,0.0539
216,3.803312495946884,3.8011865854263305,0.0624,0.06345
217,3.8069156444072725,3.8055437445640563,0.053,0.0531
218,3.8115715765953064,3.8104631900787354,0.057175,0.05805
219,3.80996612071991,3.809189051389694,0.0566625,0.05755
220,3.8164915335178375,3.8155101239681244,0.056375,0.05745
221,3.8204849565029146,3.8193644165992735,0.0567375,0.05765
222,3.816572318077087,3.8159292221069334,0.0563875,0.05745
223,3.814767383337021,3.8138492703437805,0.05665,0.05765
224,3.811877589225769,3.8110262513160706,0.057175,0.0581
225,3.8113417720794676,3.8107509672641755,0.039475,0.0395
226,3.813022232055664,3.8127685129642486,0.039675,0.0399
227,3.8110597586631774,3.811514067649841,0.05765,0.05865
228,3.8219211077690125,3.8230332732200623,0.05725,0.05855
229,3.822601993083954,3.824284887313843,0.0396625,0.0397
230,3.8315838980674743,3.83412064909935,0.039675,0.03955
231,3.8264090824127197,3.8273831784725187,0.039725,0.03975
232,3.8173674154281616,3.8188953578472136,0.0404,0.04005
233,3.8120067429542543,3.8135115563869477,0.0536875,0.05425
234,3.8156690120697023,3.8165049076080324,0.03875,0.0409
235,3.809305289983749,3.809607070684433,0.053775,0.05365
236,3.809375616312027,3.8112575232982637,0.0528,0.05365
237,3.805806940793991,3.8073726117610933,0.0531875,0.05355
238,3.80953379034996,3.8109064161777497,0.0357875,0.0345
239,3.8106669044494628,3.8118338584899902,0.0545375,0.05485
240,3.8143853545188904,3.8163288474082946,0.05335,0.0536
241,3.817754633426666,3.8194731712341308,0.0539625,0.05415
242,3.8119790863990786,3.813917803764343,0.0537375,0.05415
243,3.7988378524780275,3.8001817047595976,0.05345,0.05355
244,3.8004881739616394,3.801443511247635,0.053975,0.0541
245,3.8000013434886935,3.80017991065979,0.0540625,0.05385
246,3.8056292498111723,3.8068302035331727,0.0537875,0.05385
247,3.8046380269527433,3.805598479509354,0.053375,0.05365
248,3.7998982429504395,3.8000192284584045,0.0565,0.0577
249,3.8028679370880125,3.8033606827259065,0.0566125,0.05775
250,3.79956329703331,3.799472177028656,0.05655,0.05765
251,3.7990629398822784,3.7983020901679994,0.053425,0.05405
252,3.812383704185486,3.8111345291137697,0.0534875,0.05365
253,3.8130988585948944,3.811121165752411,0.0532875,0.05365
254,3.8026297652721404,3.8006459712982177,0.0532875,0.0536
255,3.8006385695934295,3.7987188160419465,0.0533875,0.05375
256,3.809649198055267,3.808313471078873,0.045675,0.04565
257,3.817001003026962,3.8162357330322267,0.05335,0.05355
258,3.8040800249576567,3.8036373436450956,0.053325,0.0535
259,3.7953673565387724,3.794478142261505,0.056925,0.05795
260,3.7953146398067474,3.794292098283768,0.0573,0.05835
261,3.7955596041679383,3.7940859854221345,0.057,0.05775
262,3.806049311161041,3.8039382219314577,0.0564375,0.0574
263,3.8149570095539094,3.812660199403763,0.0421125,0.0437
264,3.8031685507297515,3.801855945587158,0.0565125,0.05755
265,3.7965897405147553,3.7945645451545715,0.0569,0.0579
266,3.80753622174263,3.805031508207321,0.056425,0.05755
267,3.8071682262420654,3.804803341627121,0.0564625,0.05765
268,3.8073926627635957,3.804058092832565,0.042175,0.04355
269,3.811731617450714,3.8084473609924316,0.0564875,0.05755
270,3.8248167884349824,3.821295917034149,0.056675,0.0577
271,3.828092747926712,3.8251694977283477,0.0425125,0.04395
